sample_id,probability,method,bbox_width,bbox_height,review_label
SAMP_0001,0.4006,contour,61,61,
SAMP_0002,0.4006,contour,61,61,
SAMP_0058,0.4006,contour,61,61,
SAMP_0059,0.4006,contour,61,61,
SAMP_0062,0.4006,contour,61,61,
SAMP_0311,0.4006,contour,61,61,
SAMP_1068,0.4092,combat_base,21,50,
SAMP_0891,0.4103,hsv,24,23,
SAMP_0774,0.4151,combat_base,38,110,
SAMP_0382,0.4249,combat_base,37,163,
SAMP_0365,0.4258,combat_base,37,148,
SAMP_0380,0.4258,combat_base,37,148,
SAMP_0341,0.4277,combat_base,37,163,
SAMP_0979,0.4281,combat_base,14,57,
SAMP_0900,0.4291,combat_base,33,129,
SAMP_0488,0.4316,combat_base,45,108,
SAMP_1093,0.4335,combat_base,45,115,
SAMP_0929,0.4381,combat_base,36,86,
SAMP_0753,0.4413,combat_base,64,206,
SAMP_0145,0.4440,combat_base,16,48,
SAMP_0035,0.4528,combat_base,68,163,
SAMP_0037,0.4549,combat_base,68,163,
SAMP_1122,0.4616,combat_base,15,38,
SAMP_1109,0.4637,combat_base,30,91,
SAMP_1115,0.4702,combat_base,22,81,
SAMP_0280,0.4704,combat_base,67,168,
SAMP_0018,0.4756,combat_base,68,163,
SAMP_0240,0.4765,combat_base,16,72,
SAMP_0398,0.4777,combat_base,29,91,
SAMP_0598,0.4782,combat_base,18,76,
SAMP_1150,0.4822,combat_base,19,81,
SAMP_0024,0.4836,combat_base,68,163,
SAMP_0012,0.4872,combat_base,68,163,
SAMP_0031,0.4899,combat_base,68,163,
SAMP_0005,0.4925,combat_base,68,163,
SAMP_0009,0.5052,combat_base,68,163,
SAMP_1111,0.5072,combat_base,67,168,
SAMP_0499,0.5108,combat_base,46,110,
SAMP_1008,0.5114,combat_base,25,62,
SAMP_0402,0.5201,combat_base,24,57,
SAMP_0872,0.5313,combat_base,17,48,
SAMP_1095,0.5341,combat_base,14,57,
SAMP_1062,0.5383,combat_base,40,96,
SAMP_0518,0.5383,combat_base,14,48,
SAMP_1123,0.5665,combat_base,32,86,
SAMP_1043,0.5737,combat_base,17,40,
SAMP_0063,0.5803,hsv,55,93,
SAMP_0312,0.5803,hsv,55,93,
SAMP_0743,0.5885,combat_base,23,57,
SAMP_0269,0.5910,combat_base,63,172,
SAMP_0930,0.5953,combat_base,22,52,
SAMP_1031,0.5960,combat_base,37,144,
SAMP_0906,0.5998,combat_base,34,144,
