sample_id,probability,method,bbox_width,bbox_height,entity_review
SAMP_0290,1.0000,contour,27,32,
SAMP_0273,1.0000,hsv,23,27,
SAMP_0287,1.0000,hsv,23,27,
SAMP_0442,1.0000,hsv,23,27,
SAMP_0444,1.0000,hsv,23,27,
SAMP_0671,1.0000,hsv,23,27,
SAMP_0156,1.0000,combat_base,38,129,
SAMP_0130,1.0000,combat_base,38,124,
SAMP_0187,1.0000,combat_base,39,129,
SAMP_0165,1.0000,combat_base,39,129,
SAMP_0181,1.0000,combat_base,38,129,
SAMP_0099,1.0000,combat_base,40,129,
SAMP_0213,1.0000,combat_base,41,139,
SAMP_0204,1.0000,combat_base,42,139,
SAMP_0192,1.0000,combat_base,38,134,
SAMP_0235,1.0000,combat_base,38,129,
SAMP_0220,1.0000,combat_base,39,129,
SAMP_0036,1.0000,combat_base,80,192,
SAMP_0122,1.0000,combat_base,38,129,
SAMP_0985,1.0000,combat_base,39,129,
SAMP_0173,1.0000,combat_base,38,129,
SAMP_0137,1.0000,combat_base,39,129,
SAMP_0119,1.0000,combat_base,40,129,
SAMP_0152,1.0000,combat_base,39,129,
SAMP_0249,1.0000,combat_base,39,129,
SAMP_0160,1.0000,combat_base,39,129,
SAMP_1102,1.0000,combat_base,38,134,
SAMP_0115,1.0000,combat_base,39,129,
SAMP_0133,1.0000,combat_base,38,129,
SAMP_0178,1.0000,combat_base,38,129,
SAMP_0263,1.0000,combat_base,39,129,
SAMP_0148,1.0000,combat_base,39,129,
SAMP_0968,1.0000,combat_base,39,129,
SAMP_0195,1.0000,combat_base,42,139,
SAMP_0200,1.0000,combat_base,42,144,
SAMP_0125,1.0000,combat_base,38,129,
SAMP_0372,1.0000,combat_base,32,129,
SAMP_0208,1.0000,combat_base,41,139,
SAMP_0238,1.0000,combat_base,38,129,
SAMP_0256,1.0000,combat_base,39,129,
SAMP_0111,1.0000,combat_base,39,129,
SAMP_0140,1.0000,combat_base,38,129,
SAMP_0243,1.0000,combat_base,38,129,
SAMP_0272,1.0000,hsv,15,20,
SAMP_0144,1.0000,combat_base,39,129,
SAMP_0169,1.0000,combat_base,39,129,
SAMP_0727,1.0000,combat_base,47,124,
SAMP_0038,1.0000,combat_base,79,192,
SAMP_0752,1.0000,combat_base,25,81,
SAMP_0229,1.0000,combat_base,38,134,
SAMP_0094,1.0000,combat_base,38,129,
SAMP_0607,1.0000,combat_base,47,120,
SAMP_0090,1.0000,combat_base,38,129,
SAMP_0677,1.0000,combat_base,33,129,
SAMP_0281,1.0000,combat_base,38,134,
SAMP_0433,1.0000,combat_base,80,192,
SAMP_1004,1.0000,combat_base,40,110,
SAMP_1107,1.0000,combat_base,47,115,
SAMP_0078,1.0000,combat_base,38,129,
SAMP_0106,1.0000,combat_base,38,129,
SAMP_0745,1.0000,combat_base,75,182,
SAMP_0026,1.0000,combat_base,80,192,
SAMP_0895,1.0000,combat_base,31,110,
SAMP_0044,1.0000,combat_base,81,194,
SAMP_0085,1.0000,combat_base,40,134,
SAMP_0081,1.0000,combat_base,39,134,
SAMP_0007,1.0000,combat_base,78,196,
SAMP_0072,1.0000,combat_base,38,129,
SAMP_1020,1.0000,combat_base,53,127,
SAMP_0075,1.0000,combat_base,38,134,
SAMP_0661,1.0000,combat_base,78,187,
SAMP_0664,1.0000,combat_base,78,187,
SAMP_0054,1.0000,combat_base,77,220,
SAMP_0999,0.9999,combat_base,55,132,
SAMP_0987,0.9999,combat_base,55,132,
SAMP_1138,0.9999,contour,27,27,
SAMP_1117,0.9999,combat_base,18,76,
SAMP_0016,0.9999,combat_base,80,192,
SAMP_1155,0.9999,combat_base,15,43,
SAMP_1126,0.9999,combat_base,18,76,
SAMP_0021,0.9999,combat_base,77,192,
SAMP_0051,0.9999,combat_base,82,196,
SAMP_0669,0.9999,combat_base,73,187,
SAMP_0396,0.9998,combat_base,32,139,
SAMP_0980,0.9998,combat_base,25,110,
SAMP_0975,0.9998,combat_base,47,124,
SAMP_0993,0.9998,combat_base,25,110,
SAMP_1037,0.9997,combat_base,16,43,
SAMP_0393,0.9996,combat_base,25,72,
SAMP_0921,0.9995,combat_base,30,134,
SAMP_1030,0.9994,combat_base,38,110,
SAMP_0665,0.9994,combat_base,23,91,
SAMP_1005,0.9994,combat_base,18,57,
SAMP_0871,0.9994,combat_base,47,124,
SAMP_0860,0.9993,combat_base,38,110,
SAMP_0441,0.9993,hsv,13,21,
SAMP_0443,0.9993,hsv,13,21,
SAMP_0670,0.9992,hsv,13,18,
SAMP_1006,0.9991,combat_base,18,43,
SAMP_0904,0.9991,combat_base,37,110,
